Target Distance:100, Step Size:20
81:(x,y) = (-67.0646,12.6052)
82:(x,y) = (-50.4839,1.42136)
83:(x,y) = (-65.3468,-11.9612)
84:(x,y) = (-55.3468,5.35926)
85:(x,y) = (-57.4373,-14.5312)
86:(x,y) = (-61.9364,4.95622)
87:(x,y) = (-73.1202,-11.6245)
88:(x,y) = (-54.0991,-17.8049)
89:(x,y) = (-54.0991,-37.8049)
90:(x,y) = (-34.1752,-36.0618)
91:(x,y) = (-44.476,-18.9184)
92:(x,y) = (-24.7798,-22.3914)
93:(x,y) = (-4.7798,-22.3914)
94:(x,y) = (-13.2322,-4.26522)
95:(x,y) = (3.72879,6.33317)
96:(x,y) = (-15.5897,1.15679)
97:(x,y) = (-27.903,-14.6034)
98:(x,y) = (-20.7356,4.06818)
99:(x,y) = (-27.247,-14.8422)
100:(x,y) = (-30.0304,4.96317)
101:(x,y) = (-10.2767,1.83448)
102:(x,y) = (-27.2376,-8.7639)
103:(x,y) = (-22.0612,10.5546)
104:(x,y) = (-30.8287,-7.42127)
105:(x,y) = (-43.6844,7.89962)
106:(x,y) = (-59.8647,19.6553)
107:(x,y) = (-76.0451,7.89962)
108:(x,y) = (-83.2124,-10.772)
109:(x,y) = (-79.7395,-30.4681)
110:(x,y) = (-80.7862,-50.4407)
111:(x,y) = (-61.1537,-54.2569)
112:(x,y) = (-49.1174,-38.2842)
113:(x,y) = (-29.312,-41.0677)
114:(x,y) = (-32.4407,-21.3139)
115:(x,y) = (-13.2155,-15.8011)
116:(x,y) = (5.32823,-23.2933)
117:(x,y) = (22.2892,-12.6949)
118:(x,y) = (25.7622,7.00126)
119:(x,y) = (16.066,-10.4911)
120:(x,y) = (28.9217,-25.812)
121:(x,y) = (48.2402,-30.9884)
122:(x,y) = (32.0599,-19.2327)
123:(x,y) = (43.2437,-35.8135)
124:(x,y) = (32.943,-52.9568)
125:(x,y) = (34.3381,-72.9081)
126:(x,y) = (43.4179,-55.0879)
127:(x,y) = (24.1927,-49.5752)
128:(x,y) = (7.23173,-60.1736)
129:(x,y) = (13.0792,-41.0475)
130:(x,y) = (3.99935,-58.8676)
131:(x,y) = (10.8398,-77.6615)
132:(x,y) = (29.7501,-84.1728)
133:(x,y) = (48.8762,-78.3254)
134:(x,y) = (62.5162,-63.6983)
135:(x,y) = (70.6509,-45.4274)
136:(x,y) = (50.9548,-48.9004)
137:(x,y) = (56.8022,-29.7743)
138:(x,y) = (36.8052,-30.1233)
139:(x,y) = (52.1261,-17.2676)
140:(x,y) = (72.1261,-17.2676)
141:(x,y) = (90.5362,-25.0822)
142:(x,y) = (76.6431,-39.469)
143:(x,y) = (56.7192,-41.2121)
144:(x,y) = (54.6286,-61.1026)
145:(x,y) = (50.8124,-80.7351)
146:(x,y) = (55.9888,-100.054)
After 147steps, the subject has the following location:
(x,y) = (55.9888,-100.054)
or 
(m,a) = (114.654,-60.7691)
Average outward distance per step = 0.779957
